,game_id,outcomes
545,8027,LOSS
546,8028,WIN
547,8029,WIN
548,8030,WIN
549,8031,WIN
550,8032,LOSS
551,8033,WIN
552,8034,LOSS
553,8035,LOSS
554,8036,LOSS
555,8037,WIN
556,8038,LOSS
557,8039,WIN
558,8040,WIN
559,8041,WIN
560,8042,LOSS
561,8043,WIN
562,8044,WIN
563,8045,LOSS
564,8046,WIN
565,8047,LOSS
566,8048,WIN
567,8049,WIN
568,8050,LOSS
569,8051,LOSS
570,8052,LOSS
571,8053,WIN
572,8054,WIN
573,8055,WIN
574,8056,WIN
575,8057,WIN
576,8058,WIN
577,8059,WIN
578,8060,LOSS
579,8061,WIN
580,8062,WIN
581,8063,WIN
582,8064,LOSS
583,8065,LOSS
584,8066,WIN
585,8067,LOSS
586,8068,LOSS
587,8069,WIN
588,8070,WIN
589,8071,WIN
590,8072,LOSS
591,8073,LOSS
592,8074,LOSS
593,8075,LOSS
594,8076,WIN
595,8077,WIN
596,8078,WIN
597,8079,WIN
598,8080,WIN
599,8081,LOSS
600,8082,WIN
601,8083,WIN
602,8084,WIN
603,8085,WIN
604,8086,LOSS
605,8087,LOSS
606,8088,LOSS
607,8089,WIN
608,8090,WIN
609,8091,WIN
610,8092,WIN
611,8093,WIN
612,8094,WIN
613,8095,WIN
614,8096,WIN
615,8097,WIN
616,8098,WIN
617,8099,WIN
618,8100,LOSS
619,8101,WIN
620,8102,WIN
621,8103,WIN
622,8104,WIN
623,8105,LOSS
624,8106,LOSS
625,8107,WIN
626,8108,WIN
627,8109,WIN
628,8110,LOSS
629,8111,LOSS
630,8112,WIN
631,8113,WIN
632,8114,LOSS
633,8115,LOSS
634,8116,LOSS
635,8117,WIN
636,8118,LOSS
637,8119,WIN
638,8120,WIN
639,8121,WIN
640,8122,WIN
641,8123,WIN
642,8124,LOSS
643,8125,WIN
644,8126,WIN
645,8127,WIN
646,8128,WIN
647,8129,LOSS
648,8130,WIN
649,8131,LOSS
650,8132,LOSS
651,8133,WIN
652,8134,WIN
653,8135,LOSS
654,8136,LOSS
655,8137,WIN
656,8138,LOSS
657,8139,WIN
658,8140,WIN
659,8141,LOSS
660,8142,WIN
661,8143,LOSS
662,8144,LOSS
663,8145,LOSS
664,8146,LOSS
665,8147,WIN
666,8148,WIN
667,8149,LOSS
668,8150,WIN
669,8151,LOSS
670,8152,WIN
