,Unnamed: 0,date,Team,Player1,Player2,Player3,Player4,Player5,game_id,Location,Outcome,spread
11186,34,2016-01-04,ORL,E. Fournier,C. Frye,T. Harris,V. Oladipo,N. Vučević,4458.0,AWAY,LOSS,26.0
11187,35,2016-01-06,ORL,E. Fournier,C. Frye,T. Harris,V. Oladipo,N. Vučević,4470.0,HOME,LOSS,9.0
11188,36,2016-01-08,ORL,E. Fournier,C. Frye,T. Harris,V. Oladipo,N. Vučević,4485.0,AWAY,WIN,6.0
11189,37,2016-01-09,ORL,E. Fournier,C. Frye,T. Harris,V. Oladipo,N. Vučević,4496.0,HOME,LOSS,6.0
11190,38,2016-01-14,ORL,E. Fournier,C. Frye,T. Harris,V. Oladipo,N. Vučević,4531.0,HOME,LOSS,3.0
11191,39,2016-01-18,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4564.0,AWAY,LOSS,17.0
11192,40,2016-01-20,ORL,E. Fournier,C. Frye,T. Harris,E. Payton,N. Vučević,4573.0,HOME,LOSS,9.0
11193,41,2016-01-22,ORL,A. Gordon,T. Harris,V. Oladipo,E. Payton,N. Vučević,4589.0,HOME,LOSS,4.0
11194,42,2016-01-25,ORL,A. Gordon,T. Harris,V. Oladipo,E. Payton,N. Vučević,4613.0,AWAY,LOSS,6.0
11195,43,2016-01-26,ORL,A. Gordon,T. Harris,V. Oladipo,E. Payton,N. Vučević,4624.0,AWAY,LOSS,7.0
11196,44,2016-01-29,ORL,A. Gordon,T. Harris,V. Oladipo,E. Payton,N. Vučević,4641.0,AWAY,LOSS,19.0
11197,45,2016-01-31,ORL,A. Gordon,T. Harris,V. Oladipo,E. Payton,N. Vučević,4659.0,HOME,WIN,5.0
11198,46,2016-02-01,ORL,A. Gordon,T. Harris,V. Oladipo,E. Payton,N. Vučević,4669.0,AWAY,LOSS,15.0
11199,47,2016-02-03,ORL,A. Gordon,T. Harris,V. Oladipo,E. Payton,N. Vučević,4682.0,AWAY,LOSS,3.0
