,slug,name,Team,Location,Opponent,Outcome,date,game_id1,game_id2,game_id3,game_id4,null_count
136867,hillge01,George Hill,SACRAMENTO_KINGS,AWAY,MILWAUKEE_BUCKS,LOSS,2017-12-02,,6889.0,6899.0,,2
46719,davisan02,Anthony Davis,NEW_ORLEANS_PELICANS,HOME,CHARLOTTE_HORNETS,WIN,2014-11-04,,2677.0,,2686.0,2
14890,gasolpa01,Pau Gasol,LOS_ANGELES_LAKERS,AWAY,PORTLAND_TRAIL_BLAZERS,WIN,2013-04-10,1162.0,,1169.0,,2
168213,doncilu01,Luka Dončić,DALLAS_MAVERICKS,AWAY,PORTLAND_TRAIL_BLAZERS,LOSS,2018-12-23,,8364.0,8375.0,,2
41611,collida01,Darren Collison,LOS_ANGELES_CLIPPERS,HOME,DALLAS_MAVERICKS,LOSS,2014-04-03,,2436.0,,2439.0,2
93957,smithjr01,J.R. Smith,CLEVELAND_CAVALIERS,AWAY,LOS_ANGELES_LAKERS,WIN,2016-03-10,,4900.0,4905.0,,2
50981,muhamsh01,Shabazz Muhammad,MINNESOTA_TIMBERWOLVES,AWAY,LOS_ANGELES_CLIPPERS,LOSS,2014-12-01,,2879.0,2884.0,,2
135716,beaslmi01,Michael Beasley,NEW_YORK_KNICKS,AWAY,HOUSTON_ROCKETS,LOSS,2017-11-25,,6836.0,6849.0,,2
31599,turneev01,Evan Turner,PHILADELPHIA_76ERS,HOME,OKLAHOMA_CITY_THUNDER,LOSS,2014-01-25,1946.0,,,1960.0,2
53700,leuerjo01,Jon Leuer,MEMPHIS_GRIZZLIES,AWAY,SAN_ANTONIO_SPURS,WIN,2014-12-17,2997.0,,3007.0,,2
97824,koufoko01,Kosta Koufos,SACRAMENTO_KINGS,AWAY,DENVER_NUGGETS,WIN,2016-04-02,5078.0,,5084.0,,2
73793,ajincal01,Alexis Ajinça,NEW_ORLEANS_PELICANS,AWAY,PORTLAND_TRAIL_BLAZERS,LOSS,2015-10-28,,3946.0,3958.0,,2
47527,leuerjo01,Jon Leuer,MEMPHIS_GRIZZLIES,AWAY,MILWAUKEE_BUCKS,LOSS,2014-11-08,,2710.0,2720.0,,2
5211,crawfjo02,Jordan Crawford,WASHINGTON_WIZARDS,AWAY,SAN_ANTONIO_SPURS,LOSS,2013-02-02,,689.0,700.0,,2
107422,batumni01,Nicolas Batum,CHARLOTTE_HORNETS,HOME,DETROIT_PISTONS,LOSS,2016-11-29,,5516.0,,5519.0,2
53278,boozeca01,Carlos Boozer,LOS_ANGELES_LAKERS,AWAY,INDIANA_PACERS,LOSS,2014-12-15,,2983.0,2988.0,,2
201890,martico01,Cody Martin,CHARLOTTE_HORNETS,AWAY,HOUSTON_ROCKETS,LOSS,2020-02-04,9932.0,,9943.0,,2
115140,derozde01,DeMar DeRozan,TORONTO_RAPTORS,AWAY,PHILADELPHIA_76ERS,LOSS,2017-01-18,,5880.0,5886.0,,2
69763,danietr01,Troy Daniels,CHARLOTTE_HORNETS,AWAY,INDIANA_PACERS,LOSS,2015-04-03,,3758.0,,3768.0,2
