,Game Date,Box Score,Team,Player1,Player2,Player3,Player4,Player5
40,2016-01-16,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
41,2016-01-18,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
42,2016-01-20,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
43,2016-01-21,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
44,2016-01-23,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,T. Splitter,J. Teague
45,2016-01-25,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
46,2016-01-27,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
47,2016-01-28,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
48,2016-01-31,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
49,2016-02-01,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
50,2016-02-03,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
51,2016-02-05,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
52,2016-02-07,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
53,2016-02-08,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
54,2016-02-10,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
55,2016-02-19,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
56,2016-02-20,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
57,2016-02-22,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
58,2016-02-26,Box Score,ATL,K. Bazemore,A. Horford,K. Korver,P. Millsap,J. Teague
