,name,slug,year,Team,Lineup_name
166,Dan Gadzuric,gadzuda01,2012,NYK,D. Gadzuric
167,Sundiata Gaines,gainesu01,2012,BRK,S. Gaines
168,Danilo Gallinari,gallida01,2012,DEN,D. Gallinari
169,Francisco García,garcifr01,2012,SAC,F. García
170,Kevin Garnett,garneke01,2012,BOS,K. Garnett
171,Marc Gasol,gasolma01,2012,MEM,M. Gasol
172,Pau Gasol,gasolpa01,2012,LAL,P. Gasol
173,Rudy Gay,gayru01,2012,MEM,R. Gay
174,Alonzo Gee,geeal01,2012,CLE,A. Gee
175,Paul George,georgpa01,2012,IND,P. George
176,Daniel Gibson,gibsoda01,2012,CLE,D. Gibson
177,Taj Gibson,gibsota01,2012,CHI,T. Gibson
178,Manu Ginóbili,ginobma01,2012,SAS,M. Ginóbili
179,Mickell Gladness,gladnmi01,2012,MIA,M. Gladness
180,Mickell Gladness,gladnmi01,2012,GSW,M. Gladness
181,Ryan Gomes,gomesry01,2012,LAC,R. Gomes
182,Drew Gooden,goodedr01,2012,MIL,D. Gooden
183,Ben Gordon,gordobe01,2012,DET,B. Gordon
184,Eric Gordon,gordoer01,2012,NOP,E. Gordon
185,Marcin Gortat,gortama01,2012,PHO,M. Gortat
186,Andrew Goudelock,goudean01,2012,LAL,A. Goudelock
187,Danny Granger,grangda01,2012,IND,D. Granger
188,Aaron Gray,grayaa01,2012,TOR,A. Gray
189,Danny Green,greenda02,2012,SAS,D. Green
190,Gerald Green,greenge01,2012,BRK,G. Green
191,Willie Green,greenwi01,2012,ATL,W. Green
192,Donté Greene,greendo01,2012,SAC,D. Greene
193,Blake Griffin,griffbl01,2012,LAC,B. Griffin
194,Hamed Haddadi,haddaha01,2012,MEM,H. Haddadi
195,Jordan Hamilton,hamiljo02,2012,DEN,J. Hamilton
196,Richard Hamilton,hamilri01,2012,CHI,R. Hamilton
197,Tyler Hansbrough,hansbty01,2012,IND,T. Hansbrough
198,Luke Harangody,haranlu01,2012,CLE,L. Harangody
199,James Harden,hardeja01,2012,OKC,J. Harden
200,Justin Harper,harpeju01,2012,ORL,J. Harper
201,Josh Harrellson,harrejo01,2012,NYK,J. Harrellson
202,Al Harrington,harrial01,2012,DEN,A. Harrington
203,Devin Harris,harride01,2012,UTA,D. Harris
204,Manny Harris,harrima01,2012,CLE,M. Harris
205,Terrel Harris,harrite01,2012,MIA,T. Harris
206,Tobias Harris,harrito02,2012,MIL,T. Harris
207,Udonis Haslem,hasleud01,2012,MIA,U. Haslem
208,Spencer Hawes,hawessp01,2012,PHI,S. Hawes
209,Chuck Hayes,hayesch01,2012,SAC,C. Hayes
210,Gordon Hayward,haywago01,2012,UTA,G. Hayward
211,Lazar Hayward,haywala01,2012,OKC,L. Hayward
212,Brendan Haywood,haywobr01,2012,DAL,B. Haywood
213,Gerald Henderson,hendege02,2012,CHO,G. Henderson
214,Xavier Henry,henryxa01,2012,NOP,X. Henry
215,Roy Hibbert,hibbero01,2012,IND,R. Hibbert
216,J.J. Hickson,hicksjj01,2012,SAC,J. Hickson
217,J.J. Hickson,hicksjj01,2012,POR,J. Hickson
218,Cory Higgins,higgico01,2012,CHO,C. Higgins
219,Nenê Hilário,hilarne01,2012,DEN,N. Hilário
220,Nenê Hilário,hilarne01,2012,WAS,N. Hilário
221,George Hill,hillge01,2012,IND,G. Hill
222,Grant Hill*,hillgr01,2012,PHO,G. Hill*
223,Jordan Hill,hilljo01,2012,HOU,J. Hill
224,Jordan Hill,hilljo01,2012,LAL,J. Hill
225,Kirk Hinrich,hinriki01,2012,ATL,K. Hinrich
226,Darington Hobson,hobsoda01,2012,MIL,D. Hobson
227,Jrue Holiday,holidjr01,2012,PHI,J. Holiday
228,Ryan Hollins,holliry01,2012,CLE,R. Hollins
229,Ryan Hollins,holliry01,2012,BOS,R. Hollins
230,Tyler Honeycutt,honeyty01,2012,SAC,T. Honeycutt
231,Al Horford,horfoal01,2012,ATL,A. Horford
232,Dennis Horner,hornede01,2012,BRK,D. Horner
233,Dwight Howard,howardw01,2012,ORL,D. Howard
234,Josh Howard,howarjo01,2012,UTA,J. Howard
235,Juwan Howard,howarju01,2012,MIA,J. Howard
236,Lester Hudson,hudsole01,2012,CLE,L. Hudson
237,Lester Hudson,hudsole01,2012,MEM,L. Hudson
238,Larry Hughes,hughela01,2012,ORL,L. Hughes
239,Kris Humphries,humphkr01,2012,BRK,K. Humphries
240,Serge Ibaka,ibakase01,2012,OKC,S. Ibaka
241,Andre Iguodala,iguodan01,2012,PHI,A. Iguodala
242,Ersan İlyasova,ilyaser01,2012,MIL,E. İlyasova
243,Kyrie Irving,irvinky01,2012,CLE,K. Irving
244,Royal Ivey,iveyro01,2012,OKC,R. Ivey
245,Jarrett Jack,jackja01,2012,NOP,J. Jack
246,Reggie Jackson,jacksre01,2012,OKC,R. Jackson
247,Stephen Jackson,jacksst02,2012,MIL,S. Jackson
248,Stephen Jackson,jacksst02,2012,SAS,S. Jackson
249,Damion James,jamesda01,2012,BRK,D. James
250,LeBron James,jamesle01,2012,MIA,L. James
251,Mike James,jamesmi01,2012,CHI,M. James
252,Antawn Jamison,jamisan01,2012,CLE,A. Jamison
253,Al Jefferson,jeffeal01,2012,UTA,A. Jefferson
254,Richard Jefferson,jefferi01,2012,SAS,R. Jefferson
255,Richard Jefferson,jefferi01,2012,GSW,R. Jefferson
256,Jared Jeffries,jeffrja01,2012,NYK,J. Jeffries
257,Charles Jenkins,jenkich01,2012,GSW,C. Jenkins
258,Brandon Jennings,jennibr01,2012,MIL,B. Jennings
259,Jonas Jerebko,jerebjo01,2012,DET,J. Jerebko
260,Yi Jianlian,jianlyi01,2012,DAL,Y. Jianlian
261,Amir Johnson,johnsam01,2012,TOR,A. Johnson
262,Armon Johnson,johnsar02,2012,POR,A. Johnson
263,Armon Johnson,johnsar02,2012,BRK,A. Johnson
264,Carldell Johnson,johnsca01,2012,NOP,C. Johnson
265,Chris Johnson,johnsch03,2012,POR,C. Johnson
266,Chris Johnson,johnsch03,2012,NOP,C. Johnson
267,Ivan Johnson,johnsiv01,2012,ATL,I. Johnson
268,JaJuan Johnson,johnsja02,2012,BOS,J. Johnson
269,James Johnson,johnsja01,2012,TOR,J. Johnson
270,Joe Johnson,johnsjo02,2012,ATL,J. Johnson
271,Trey Johnson,johnstr01,2012,NOP,T. Johnson
272,Wesley Johnson,johnswe01,2012,MIN,W. Johnson
273,Dahntay Jones,jonesda02,2012,IND,D. Jones
274,Dominique Jones,jonesdo02,2012,DAL,D. Jones
275,James Jones,jonesja02,2012,MIA,J. Jones
276,Solomon Jones,jonesso01,2012,LAC,S. Jones
277,Solomon Jones,jonesso01,2012,NOP,S. Jones
278,DeAndre Jordan,jordade01,2012,LAC,D. Jordan
279,Jerome Jordan,jordaje01,2012,NYK,J. Jordan
280,Cory Joseph,josepco01,2012,SAS,C. Joseph
281,Chris Kaman,kamanch01,2012,NOP,C. Kaman
282,Enes Kanter,kanteen01,2012,UTA,E. Kanter
283,Jason Kapono,kaponja01,2012,LAL,J. Kapono
284,D.J. Kennedy,kennedj01,2012,CLE,D. Kennedy
285,Jason Kidd*,kiddja01,2012,DAL,J. Kidd*
286,Linas Kleiza,kleizli01,2012,TOR,L. Kleiza
287,Brandon Knight,knighbr03,2012,DET,B. Knight
288,Kyle Korver,korveky01,2012,CHI,K. Korver
289,Kosta Koufos,koufoko01,2012,DEN,K. Koufos
290,Carl Landry,landrca01,2012,NOP,C. Landry
291,Ty Lawson,lawsoty01,2012,DEN,T. Lawson
292,Courtney Lee,leeco01,2012,HOU,C. Lee
293,David Lee,leeda02,2012,GSW,D. Lee
294,Malcolm Lee,leema01,2012,MIN,M. Lee
295,Kawhi Leonard,leonaka01,2012,SAS,K. Leonard
296,Travis Leslie,leslitr01,2012,LAC,T. Leslie
297,Jon Leuer,leuerjo01,2012,MIL,J. Leuer
298,Rashard Lewis,lewisra02,2012,WAS,R. Lewis
299,DeAndre Liggins,liggide01,2012,ORL,D. Liggins
300,Jeremy Lin,linje01,2012,NYK,J. Lin
301,Shaun Livingston,livinsh01,2012,MIL,S. Livingston
302,Brook Lopez,lopezbr01,2012,BRK,B. Lopez
303,Robin Lopez,lopezro01,2012,PHO,R. Lopez
304,Kevin Love,loveke01,2012,MIN,K. Love
305,Kyle Lowry,lowryky01,2012,HOU,K. Lowry
306,John Lucas III,lucasjo02,2012,CHI,J. Lucas
307,Shelvin Mack,macksh01,2012,WAS,S. Mack
308,Vernon Macklin,macklve01,2012,DET,V. Macklin
309,Corey Maggette,maggeco01,2012,CHO,C. Maggette
310,Jamaal Magloire,magloja01,2012,TOR,J. Magloire
311,Ian Mahinmi,mahinia01,2012,DAL,I. Mahinmi
312,Shawn Marion,mariosh01,2012,DAL,S. Marion
313,Cartier Martin,martica01,2012,WAS,C. Martin
314,Kenyon Martin,martike01,2012,LAC,K. Martin
315,Kevin Martin,martike02,2012,HOU,K. Martin
316,Roger Mason,masonro01,2012,WAS,R. Mason
317,Wesley Matthews,matthwe02,2012,POR,W. Matthews
318,Jason Maxiell,maxieja01,2012,DET,J. Maxiell
319,Eric Maynor,maynoer01,2012,OKC,E. Maynor
320,O.J. Mayo,mayooj01,2012,MEM,O. Mayo
321,Luc Mbah a Moute,mbahalu01,2012,MIL,L. Mbah a Moute
322,JaVale McGee,mcgeeja01,2012,WAS,J. McGee
323,JaVale McGee,mcgeeja01,2012,DEN,J. McGee
324,Tracy McGrady*,mcgratr01,2012,ATL,T. McGrady*
325,Dominic McGuire,mcguido01,2012,GSW,D. McGuire
326,Josh McRoberts,mcrobjo01,2012,LAL,J. McRoberts
327,Jodie Meeks,meeksjo01,2012,PHI,J. Meeks
328,C.J. Miles,milescj01,2012,UTA,C. Miles
329,Darko Miličić,milicda01,2012,MIN,D. Miličić
330,Andre Miller,millean02,2012,DEN,A. Miller
331,Brad Miller,millebr01,2012,MIN,B. Miller
332,Mike Miller,millemi01,2012,MIA,M. Miller
333,Patty Mills,millspa02,2012,SAS,P. Mills
334,Paul Millsap,millspa01,2012,UTA,P. Millsap
335,Nazr Mohammed,mohamna01,2012,OKC,N. Mohammed
336,Greg Monroe,monrogr01,2012,DET,G. Monroe
337,Jamario Moon,moonja01,2012,CHO,J. Moon
338,E'Twaun Moore,mooreet01,2012,BOS,E. Moore
339,Mikki Moore,mooremi01,2012,GSW,M. Moore
340,Darius Morris,morrida01,2012,LAL,D. Morris
341,Marcus Morris,morrima03,2012,HOU,M. Morris
342,Markieff Morris,morrima02,2012,PHO,M. Morris
343,Anthony Morrow,morroan01,2012,BRK,A. Morrow
344,Timofey Mozgov,mozgoti01,2012,DEN,T. Mozgov
345,Byron Mullens,mulleby01,2012,CHO,B. Mullens
346,Troy Murphy,murphtr01,2012,LAL,T. Murphy
347,Hamady N'Diaye,ndiayha01,2012,WAS,H. N'Diaye
348,Eduardo Nájera,najered01,2012,CHO,E. Nájera
349,Steve Nash*,nashst01,2012,PHO,S. Nash*
350,Gary Neal,nealga01,2012,SAS,G. Neal
351,Jameer Nelson,nelsoja01,2012,ORL,J. Nelson
352,Joakim Noah,noahjo01,2012,CHI,J. Noah
353,Andrés Nocioni,nocioan01,2012,PHI,A. Nocioni
354,Steve Novak,novakst01,2012,NYK,S. Novak
355,Dirk Nowitzki,nowitdi01,2012,DAL,D. Nowitzki
356,Jermaine O'Neal,onealje01,2012,BOS,J. O'Neal
357,Lamar Odom,odomla01,2012,DAL,L. Odom
358,Emeka Okafor,okafoem01,2012,NOP,E. Okafor
359,Mehmet Okur,okurme01,2012,BRK,M. Okur
360,Daniel Orton,ortonda01,2012,ORL,D. Orton
361,Travis Outlaw,outlatr01,2012,SAC,T. Outlaw
362,Larry Owens,owensla01,2012,BRK,L. Owens
363,Zaza Pachulia,pachuza01,2012,ATL,Z. Pachulia
364,Jannero Pargo,pargoja01,2012,ATL,J. Pargo
365,Jeremy Pargo,pargoje01,2012,MEM,J. Pargo
366,Anthony Parker,parkean01,2012,CLE,A. Parker
367,Tony Parker,parketo01,2012,SAS,T. Parker
368,Chandler Parsons,parsoch01,2012,HOU,C. Parsons
369,Patrick Patterson,pattepa01,2012,HOU,P. Patterson
370,Chris Paul,paulch01,2012,LAC,C. Paul
371,Sasha Pavlović,pavloal01,2012,BOS,S. Pavlović
372,Nikola Peković,pekovni01,2012,MIN,N. Peković
373,Kendrick Perkins,perkike01,2012,OKC,K. Perkins
374,Johan Petro,petrojo01,2012,BRK,J. Petro
375,Paul Pierce,piercpa01,2012,BOS,P. Pierce
376,Mickaël Piétrus,pietrmi01,2012,BOS,M. Piétrus
377,Dexter Pittman,pittmde01,2012,MIA,D. Pittman
378,Quincy Pondexter,pondequ01,2012,MEM,Q. Pondexter
379,A.J. Price,priceaj01,2012,IND,A. Price
380,Ronnie Price,pricero01,2012,PHO,R. Price
381,Tayshaun Prince,princta01,2012,DET,T. Prince
382,Joel Przybilla,przybjo01,2012,POR,J. Przybilla
383,Vladimir Radmanović,radmavl01,2012,ATL,V. Radmanović
384,Anthony Randolph,randoan01,2012,MIN,A. Randolph
