,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,1662.0,4.853503184713376,11.19108280254777,1.78343949044586,4.681528662420382,2.1337579617834397,2.656050955414013,0.9617834394904459,4.917197452229299,1.356687898089172,0.5477707006369427,0.29936305732484075,1.1656050955414012,2.3121019108280256,9.287898089171971,,,,,,,
2,1600.5,4.166666666666667,9.166666666666666,0.3333333333333333,1.6666666666666667,1.5,2.0,0.8333333333333334,2.8333333333333335,4.166666666666667,0.6666666666666666,0.16666666666666666,2.0,2.1666666666666665,7.483333333333334,,,,,,,
3,1543.0,5.875,11.25,0.375,1.0,5.25,6.125,2.625,7.125,2.125,0.75,0.5,3.125,3.375,13.5875,,,,,,,
4,891.4285714285714,2.5714285714285716,3.4285714285714284,0.0,0.0,0.8571428571428571,1.4285714285714286,1.7142857142857142,2.142857142857143,0.42857142857142855,0.14285714285714285,2.142857142857143,0.7142857142857143,2.2857142857142856,6.557142857142857,,,,,,,
0,1662.0,4.0,9.0,0.0,1.0,4.0,4.0,3.0,5.0,2.0,0.0,0.5,2.0,1.0,10.25,,,,,,,
1,1788.5,5.0,15.0,1.0,4.5,5.25,5.75,0.25,2.5,3.0,0.75,0.25,2.25,3.25,7.95,,,,,,,
2,1764.0,5.5,11.833333333333334,2.0,5.333333333333333,3.3333333333333335,3.5,1.0,6.5,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.6666666666666667,1.5,12.450000000000001,,,,,,,
3,1989.0,5.4,10.666666666666666,1.6666666666666667,4.0,1.5333333333333334,2.1333333333333333,0.6666666666666666,5.266666666666667,1.8,1.2,0.6666666666666666,0.8666666666666667,1.8,11.84,,,,,,,
4,1014.6875,1.25,4.1875,0.3125,1.25,0.6875,0.9375,1.0625,1.4375,1.9375,0.625,0.125,1.1875,1.625,2.3750000000000004,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,
1,1959.7692307692307,5.076923076923077,12.307692307692308,2.0,5.384615384615385,3.0,3.6923076923076925,2.923076923076923,7.461538461538462,1.7692307692307692,0.9230769230769231,0.38461538461538464,1.7692307692307692,1.7692307692307692,12.53076923076923,,,,,,,
2,911.4166666666666,1.9166666666666667,5.333333333333333,0.6666666666666666,2.6666666666666665,0.3333333333333333,0.6666666666666666,0.25,2.25,1.0833333333333333,0.25,0.0,1.0,1.25,2.091666666666667,,,,,,,
3,1763.0,4.8,12.2,1.2,2.0,3.0,3.4,1.0,1.4,2.8,0.2,0.0,2.8,2.2,6.62,,,,,,,
4,1191.2727272727273,2.8181818181818183,4.090909090909091,0.0,0.0,1.0909090909090908,1.5454545454545454,2.5454545454545454,3.8181818181818183,1.0909090909090908,0.36363636363636365,0.36363636363636365,1.0,1.4545454545454546,7.536363636363637,,,,,,,
0,1824.909090909091,5.045454545454546,9.272727272727273,0.0,0.0,1.3181818181818181,2.8636363636363638,3.5454545454545454,7.090909090909091,1.0454545454545454,1.1363636363636365,2.3181818181818183,1.6363636363636365,2.727272727272727,11.69090909090909,,,,,,,
1,2149.925925925926,10.333333333333334,22.22222222222222,3.740740740740741,10.0,9.074074074074074,10.444444444444445,0.8518518518518519,5.37037037037037,7.185185185185185,2.185185185185185,0.7777777777777778,5.148148148148148,3.185185185185185,25.055555555555557,,,,,,,
2,1298.6666666666667,2.2222222222222223,5.444444444444445,1.1111111111111112,3.888888888888889,1.2222222222222223,1.8888888888888888,0.5555555555555556,2.888888888888889,0.2222222222222222,0.5555555555555556,0.4444444444444444,0.7777777777777778,1.5555555555555556,4.466666666666667,,,,,,,
3,1898.5185185185185,2.6666666666666665,6.592592592592593,1.8148148148148149,4.814814814814815,0.6296296296296297,0.8888888888888888,1.1481481481481481,4.888888888888889,0.9629629629629629,1.3703703703703705,0.6666666666666666,0.6666666666666666,3.111111111111111,6.996296296296298,,,,,,,
