,date,Team,Player1,Player2,Player3,Player4,Player5,game_id,Location,Outcome,spread
1632,2013-01-04,CHI,C. Boozer,L. Deng,R. Hamilton,K. Hinrich,J. Noah,483,AWAY,WIN,7.0
6516,2013-01-04,LAL,K. Bryant,P. Gasol,D. Howard,S. Nash,M. World Peace,487,AWAY,LOSS,5.0
1089,2013-01-04,BRK,R. Evans,J. Johnson,B. Lopez,G. Wallace,D. Williams,479,AWAY,WIN,2.0
14675,2013-01-04,WAS,B. Beal,N. Hilário,E. Okafor,G. Temple,M. Webster,479,HOME,LOSS,2.0
546,2013-01-04,BOS,B. Bass,A. Bradley,K. Garnett,P. Pierce,R. Rondo,481,HOME,WIN,19.0
11417,2013-01-04,PHO,G. Dragić,J. Dudley,M. Gortat,L. Scola,P. Tucker,486,HOME,LOSS,7.0
16718,2013-01-04,CHO,B. Biyombo,G. Henderson,J. Taylor,K. Walker,H. Warrick,477,HOME,LOSS,2.0
1,2013-01-04,ATL,A. Horford,K. Korver,J. Smith,J. Teague,L. Williams,480,AWAY,LOSS,1.0
5974,2013-01-04,LAC,C. Butler,W. Green,B. Griffin,D. Jordan,C. Paul,487,HOME,WIN,5.0
547,2013-01-05,BOS,B. Bass,A. Bradley,K. Garnett,P. Pierce,R. Rondo,488,AWAY,WIN,8.0
2178,2013-01-05,CLE,A. Gee,K. Irving,C. Miles,T. Thompson,T. Zeller,492,HOME,LOSS,8.0
4345,2013-01-05,GSW,H. Barnes,S. Curry,F. Ezeli,D. Lee,K. Thompson,497,AWAY,LOSS,26.0
2,2013-01-05,ATL,A. Horford,K. Korver,J. Smith,J. Teague,L. Williams,488,HOME,LOSS,8.0
8697,2013-01-05,MIN,D. Cunningham,A. Kirilenko,N. Peković,L. Ridnour,A. Shved,493,HOME,LOSS,5.0
10331,2013-01-05,ORL,A. Afflalo,D. Jones,J. Nelson,A. Nicholson,N. Vučević,490,HOME,LOSS,8.0
11961,2013-01-05,POR,L. Aldridge,N. Batum,J. Hickson,D. Lillard,W. Matthews,493,AWAY,WIN,5.0
5432,2013-01-05,IND,P. George,R. Hibbert,G. Hill,L. Stephenson,D. West,489,HOME,WIN,15.0
3263,2013-01-05,DEN,K. Faried,D. Gallinari,A. Iguodala,K. Koufos,T. Lawson,496,HOME,WIN,19.0
12506,2013-01-05,SAC,D. Cousins,F. García,J. Salmons,I. Thomas,J. Thompson,491,AWAY,LOSS,20.0
13049,2013-01-05,SAS,T. Duncan,D. Green,K. Leonard,T. Parker,T. Splitter,495,HOME,WIN,23.0
2720,2013-01-05,DAL,D. Collison,C. Kaman,S. Marion,O. Mayo,D. Nowitzki,494,HOME,LOSS,3.0
1090,2013-01-05,BRK,R. Evans,J. Johnson,B. Lopez,G. Wallace,D. Williams,491,HOME,WIN,20.0
10876,2013-01-05,PHI,L. Allen,J. Holiday,J. Richardson,E. Turner,T. Young,495,AWAY,LOSS,23.0
4889,2013-01-05,HOU,Ö. Aşık,J. Harden,J. Lin,M. Morris,C. Parsons,492,AWAY,WIN,8.0
5975,2013-01-05,LAC,C. Butler,W. Green,B. Griffin,D. Jordan,C. Paul,497,HOME,WIN,26.0
14133,2013-01-05,UTA,R. Foye,A. Jefferson,P. Millsap,J. Tinsley,M. Williams,496,AWAY,LOSS,19.0
9244,2013-01-05,NYK,C. Anthony,R. Brewer,M. Camby,T. Chandler,J. Kidd,490,AWAY,WIN,8.0
8152,2013-01-05,MIL,M. Ellis,B. Jennings,L. Mbah a Moute,L. Sanders,E. Udoh,489,AWAY,LOSS,15.0
17263,2013-01-05,NOP,A. Aminu,A. Davis,E. Gordon,R. Lopez,G. Vásquez,494,AWAY,WIN,3.0
16719,2013-01-06,CHO,B. Biyombo,M. Kidd-Gilchrist,J. Taylor,T. Thomas,K. Walker,500,AWAY,WIN,7.0
3805,2013-01-06,DET,B. Knight,J. Maxiell,G. Monroe,T. Prince,K. Singler,500,HOME,LOSS,7.0
9788,2013-01-06,OKC,K. Durant,S. Ibaka,K. Perkins,T. Sefolosha,R. Westbrook,498,AWAY,WIN,12.0
6517,2013-01-06,LAL,K. Bryant,P. Gasol,D. Howard,S. Nash,M. World Peace,502,HOME,LOSS,7.0
14676,2013-01-06,WAS,B. Beal,N. Hilário,E. Okafor,G. Temple,M. Webster,499,AWAY,LOSS,28.0
3264,2013-01-06,DEN,K. Faried,D. Gallinari,A. Iguodala,K. Koufos,T. Lawson,502,AWAY,WIN,7.0
13590,2013-01-06,TOR,J. Calderón,E. Davis,D. DeRozan,A. Johnson,M. Piétrus,498,HOME,LOSS,12.0
7061,2013-01-06,MEM,T. Allen,M. Conley,M. Gasol,R. Gay,Z. Randolph,501,AWAY,WIN,11.0
7607,2013-01-06,MIA,C. Bosh,M. Chalmers,U. Haslem,L. James,D. Wade,499,HOME,WIN,28.0
11418,2013-01-06,PHO,G. Dragić,J. Dudley,M. Gortat,L. Scola,P. Tucker,501,HOME,LOSS,11.0
9245,2013-01-07,NYK,C. Anthony,R. Brewer,M. Camby,T. Chandler,J. Kidd,504,HOME,LOSS,6.0
12507,2013-01-07,SAC,D. Cousins,F. García,J. Salmons,I. Thomas,J. Thompson,509,HOME,LOSS,32.0
14134,2013-01-07,UTA,R. Foye,A. Jefferson,P. Millsap,J. Tinsley,M. Williams,507,HOME,WIN,6.0
17264,2013-01-07,NOP,A. Aminu,A. Davis,E. Gordon,R. Lopez,G. Vásquez,506,HOME,WIN,7.0
2179,2013-01-07,CLE,A. Gee,K. Irving,C. Miles,T. Thompson,T. Zeller,505,AWAY,LOSS,26.0
11962,2013-01-07,POR,L. Aldridge,N. Batum,J. Hickson,D. Lillard,W. Matthews,508,HOME,WIN,6.0
10332,2013-01-07,ORL,A. Afflalo,D. Jones,J. Nelson,A. Nicholson,N. Vučević,508,AWAY,LOSS,6.0
548,2013-01-07,BOS,B. Bass,A. Bradley,K. Garnett,P. Pierce,J. Terry,504,AWAY,WIN,6.0
13050,2013-01-07,SAS,T. Duncan,D. Green,K. Leonard,T. Parker,T. Splitter,506,AWAY,LOSS,7.0
9789,2013-01-07,OKC,K. Durant,S. Ibaka,K. Perkins,T. Sefolosha,R. Westbrook,503,AWAY,LOSS,2.0
2721,2013-01-07,DAL,D. Collison,C. Kaman,S. Marion,O. Mayo,D. Nowitzki,507,AWAY,LOSS,6.0
7062,2013-01-07,MEM,T. Allen,M. Conley,M. Gasol,R. Gay,Z. Randolph,509,AWAY,WIN,32.0
14677,2013-01-07,WAS,B. Beal,E. Okafor,K. Séraphin,G. Temple,M. Webster,503,HOME,WIN,2.0
1633,2013-01-07,CHI,C. Boozer,L. Deng,R. Hamilton,K. Hinrich,J. Noah,505,HOME,WIN,26.0
7608,2013-01-08,MIA,C. Bosh,M. Chalmers,U. Haslem,L. James,D. Wade,510,AWAY,LOSS,10.0
11419,2013-01-08,PHO,G. Dragić,J. Dudley,M. Gortat,L. Scola,P. Tucker,513,AWAY,LOSS,9.0
1091,2013-01-08,BRK,R. Evans,J. Johnson,B. Lopez,G. Wallace,D. Williams,511,AWAY,WIN,20.0
3,2013-01-08,ATL,A. Horford,K. Korver,J. Smith,J. Teague,L. Williams,514,AWAY,LOSS,5.0
4890,2013-01-08,HOU,Ö. Aşık,J. Harden,J. Lin,M. Morris,C. Parsons,512,HOME,WIN,13.0
10877,2013-01-08,PHI,L. Allen,J. Holiday,J. Richardson,E. Turner,T. Young,511,HOME,LOSS,20.0
6518,2013-01-08,LAL,K. Bryant,D. Morris,S. Nash,R. Sacre,M. World Peace,512,AWAY,LOSS,13.0
8153,2013-01-08,MIL,M. Ellis,E. İlyasova,B. Jennings,L. Mbah a Moute,L. Sanders,513,HOME,WIN,9.0
8698,2013-01-08,MIN,D. Cunningham,A. Kirilenko,N. Peković,L. Ridnour,A. Shved,514,HOME,WIN,5.0
5433,2013-01-08,IND,P. George,R. Hibbert,G. Hill,L. Stephenson,D. West,510,HOME,WIN,10.0
2722,2013-01-09,DAL,D. Collison,C. Kaman,S. Marion,O. Mayo,D. Nowitzki,525,AWAY,LOSS,6.0
2180,2013-01-09,CLE,A. Gee,K. Irving,T. Thompson,D. Waiters,T. Zeller,516,HOME,WIN,16.0
16720,2013-01-09,CHO,B. Biyombo,M. Kidd-Gilchrist,J. Taylor,T. Thomas,K. Walker,515,HOME,LOSS,10.0
8154,2013-01-09,MIL,M. Ellis,E. İlyasova,B. Jennings,L. Mbah a Moute,L. Sanders,519,AWAY,WIN,8.0
3265,2013-01-09,DEN,K. Faried,D. Gallinari,A. Iguodala,K. Koufos,T. Lawson,523,HOME,WIN,3.0
6519,2013-01-09,LAL,K. Bryant,D. Morris,S. Nash,R. Sacre,M. World Peace,522,AWAY,LOSS,3.0
13591,2013-01-09,TOR,J. Calderón,E. Davis,D. DeRozan,L. Fields,A. Johnson,517,HOME,WIN,18.0
17265,2013-01-09,NOP,A. Aminu,A. Davis,E. Gordon,R. Lopez,G. Vásquez,520,HOME,WIN,9.0
13051,2013-01-09,SAS,T. Duncan,D. Green,K. Leonard,T. Parker,T. Splitter,522,HOME,WIN,3.0
549,2013-01-09,BOS,B. Bass,A. Bradley,K. Garnett,P. Pierce,R. Rondo,518,HOME,WIN,8.0
9790,2013-01-09,OKC,K. Durant,S. Ibaka,K. Perkins,T. Sefolosha,R. Westbrook,521,HOME,WIN,22.0
11420,2013-01-09,PHO,G. Dragić,J. Dudley,M. Gortat,L. Scola,P. Tucker,518,AWAY,LOSS,8.0
1634,2013-01-09,CHI,C. Boozer,L. Deng,R. Hamilton,J. Noah,N. Robinson,519,HOME,LOSS,8.0
14135,2013-01-09,UTA,D. Carroll,R. Foye,A. Jefferson,P. Millsap,J. Tinsley,515,AWAY,WIN,10.0
4346,2013-01-09,GSW,H. Barnes,S. Curry,F. Ezeli,D. Lee,K. Thompson,524,HOME,LOSS,7.0
4891,2013-01-09,HOU,Ö. Aşık,J. Harden,J. Lin,M. Morris,C. Parsons,520,AWAY,LOSS,9.0
4,2013-01-09,ATL,A. Horford,K. Korver,Z. Pachulia,J. Smith,J. Teague,516,AWAY,LOSS,16.0
7063,2013-01-09,MEM,T. Allen,M. Conley,M. Gasol,R. Gay,Z. Randolph,524,AWAY,WIN,7.0
5976,2013-01-09,LAC,C. Butler,W. Green,B. Griffin,D. Jordan,C. Paul,525,HOME,WIN,6.0
10333,2013-01-09,ORL,A. Afflalo,D. Jones,J. Nelson,A. Nicholson,N. Vučević,523,AWAY,LOSS,3.0
8699,2013-01-09,MIN,D. Cunningham,A. Kirilenko,N. Peković,L. Ridnour,A. Shved,521,AWAY,LOSS,22.0
10878,2013-01-09,PHI,L. Allen,J. Holiday,E. Turner,D. Wright,T. Young,517,AWAY,LOSS,18.0
5434,2013-01-10,IND,P. George,R. Hibbert,G. Hill,L. Stephenson,D. West,526,HOME,WIN,5.0
11963,2013-01-10,POR,L. Aldridge,N. Batum,J. Hickson,D. Lillard,W. Matthews,528,HOME,WIN,2.0
12508,2013-01-10,SAC,D. Cousins,F. García,J. Salmons,I. Thomas,J. Thompson,527,HOME,LOSS,5.0
9246,2013-01-10,NYK,R. Brewer,M. Camby,T. Chandler,C. Copeland,J. Kidd,526,AWAY,LOSS,5.0
2723,2013-01-10,DAL,D. Collison,C. Kaman,S. Marion,O. Mayo,D. Nowitzki,527,AWAY,WIN,5.0
7609,2013-01-10,MIA,C. Bosh,M. Chalmers,U. Haslem,L. James,D. Wade,528,AWAY,LOSS,2.0
8155,2013-01-11,MIL,M. Ellis,E. İlyasova,B. Jennings,L. Mbah a Moute,L. Sanders,536,HOME,LOSS,16.0
11964,2013-01-11,POR,L. Aldridge,N. Batum,J. Hickson,D. Lillard,W. Matthews,538,AWAY,LOSS,6.0
2181,2013-01-11,CLE,A. Gee,K. Irving,C. Miles,T. Thompson,T. Zeller,537,AWAY,LOSS,7.0
1092,2013-01-11,BRK,R. Evans,J. Johnson,B. Lopez,G. Wallace,D. Williams,532,HOME,WIN,20.0
13592,2013-01-11,TOR,J. Calderón,E. Davis,D. DeRozan,L. Fields,A. Johnson,529,HOME,WIN,21.0
4892,2013-01-11,HOU,Ö. Aşık,J. Harden,J. Lin,M. Morris,C. Parsons,531,AWAY,LOSS,12.0
13052,2013-01-11,SAS,T. Duncan,D. Green,K. Leonard,T. Parker,T. Splitter,533,AWAY,LOSS,3.0
11421,2013-01-11,PHO,G. Dragić,J. Dudley,M. Gortat,L. Scola,P. Tucker,532,AWAY,LOSS,20.0
4347,2013-01-11,GSW,H. Barnes,S. Curry,F. Ezeli,D. Lee,K. Thompson,538,HOME,WIN,6.0
9791,2013-01-11,OKC,K. Durant,S. Ibaka,K. Perkins,T. Sefolosha,R. Westbrook,539,AWAY,WIN,15.0
7064,2013-01-11,MEM,T. Allen,M. Conley,M. Gasol,R. Gay,Z. Randolph,533,HOME,WIN,3.0
9247,2013-01-11,NYK,C. Anthony,T. Chandler,J. Kidd,K. Thomas,J. White,535,HOME,LOSS,7.0
550,2013-01-11,BOS,B. Bass,A. Bradley,K. Garnett,P. Pierce,R. Rondo,531,HOME,WIN,12.0
1635,2013-01-11,CHI,C. Boozer,L. Deng,R. Hamilton,K. Hinrich,J. Noah,535,AWAY,WIN,7.0
8700,2013-01-11,MIN,D. Cunningham,A. Kirilenko,N. Peković,L. Ridnour,A. Shved,534,AWAY,LOSS,12.0
16721,2013-01-11,CHO,B. Biyombo,M. Kidd-Gilchrist,J. Taylor,K. Walker,H. Warrick,529,AWAY,LOSS,21.0
3266,2013-01-11,DEN,K. Faried,D. Gallinari,A. Iguodala,K. Koufos,T. Lawson,537,HOME,WIN,7.0
5,2013-01-11,ATL,D. Harris,A. Horford,K. Korver,J. Smith,J. Teague,530,HOME,WIN,8.0
