,name,Lineup_name
385,Zach Randolph,Z. Randolph
386,Michael Redd,M. Redd
387,J.J. Redick,J. Redick
388,Ryan Reid,R. Reid
389,Jason Richardson,J. Richardson
390,Quentin Richardson,Q. Richardson
391,Luke Ridnour,L. Ridnour
392,Nate Robinson,N. Robinson
393,Rajon Rondo,R. Rondo
394,Derrick Rose,D. Rose
395,Ricky Rubio,R. Rubio
396,Brandon Rush,B. Rush
397,Walker Russell,W. Russell
398,John Salmons,J. Salmons
399,Samardo Samuels,S. Samuels
400,Larry Sanders,L. Sanders
401,Brian Scalabrine,B. Scalabrine
402,Luis Scola,L. Scola
403,Thabo Sefolosha,T. Sefolosha
404,Josh Selby,J. Selby
405,Kevin Séraphin,K. Séraphin
406,Ramon Sessions,R. Sessions
408,Iman Shumpert,I. Shumpert
409,Xavier Silas,X. Silas
410,Bobby Simmons,B. Simmons
411,Chris Singleton,C. Singleton
412,James Singleton,J. Singleton
413,Brian Skinner,B. Skinner
414,Donald Sloan,D. Sloan
417,Craig Smith,C. Smith
418,Greg Smith,G. Smith
419,Ish Smith,I. Smith
421,J.R. Smith,J. Smith
422,Jason Smith,J. Smith
423,Jerry Smith,J. Smith
424,Josh Smith,J. Smith
425,Nolan Smith,N. Smith
426,Marreese Speights,M. Speights
427,Tiago Splitter,T. Splitter
428,Jerry Stackhouse,J. Stackhouse
429,Lance Stephenson,L. Stephenson
430,DeShawn Stevenson,D. Stevenson
431,Greg Stiemsma,G. Stiemsma
432,Julyan Stone,J. Stone
433,Amar'e Stoudemire,A. Stoudemire
434,Rodney Stuckey,R. Stuckey
435,DaJuan Summers,D. Summers
436,Jeff Teague,J. Teague
437,Sebastian Telfair,S. Telfair
438,Jason Terry,J. Terry
439,Hasheem Thabeet,H. Thabeet
441,Isaiah Thomas,I. Thomas
442,Kurt Thomas,K. Thomas
443,Lance Thomas,L. Thomas
444,Malcolm Thomas,M. Thomas
445,Tyrus Thomas,T. Thomas
446,Trey Thompkins,T. Thompkins
447,Jason Thompson,J. Thompson
448,Klay Thompson,K. Thompson
449,Mychel Thompson,M. Thompson
450,Tristan Thompson,T. Thompson
451,Marcus Thornton,M. Thornton
452,Jamaal Tinsley,J. Tinsley
453,Anthony Tolliver,A. Tolliver
454,Ronny Turiaf,R. Turiaf
456,Hedo Türkoğlu,H. Türkoğlu
457,Evan Turner,E. Turner
458,Jeremy Tyler,J. Tyler
459,Edwin Ubiles,E. Ubiles
460,Ekpe Udoh,E. Udoh
462,Beno Udrih,B. Udrih
463,Ben Uzoh,B. Uzoh
465,Anderson Varejão,A. Varejão
466,Greivis Vásquez,G. Vásquez
467,Jan Veselý,J. Veselý
468,Charlie Villanueva,C. Villanueva
469,Nikola Vučević,N. Vučević
470,Dwyane Wade,D. Wade
471,Von Wafer,V. Wafer
472,Henry Walker,H. Walker
473,Kemba Walker,K. Walker
474,John Wall,J. Wall
475,Ben Wallace,B. Wallace
476,Gerald Wallace,G. Wallace
478,Luke Walton,L. Walton
480,Hakim Warrick,H. Warrick
481,Darryl Watkins,D. Watkins
482,C.J. Watson,C. Watson
483,Earl Watson,E. Watson
484,Martell Webster,M. Webster
485,David West,D. West
486,Delonte West,D. West
487,Russell Westbrook,R. Westbrook
488,D.J. White,D. White
489,Hassan Whiteside,H. Whiteside
490,Chris Wilcox,C. Wilcox
491,Damien Wilkins,D. Wilkins
492,Deron Williams,D. Williams
493,Derrick Williams,D. Williams
494,Elliot Williams,E. Williams
495,Jordan Williams,J. Williams
496,Lou Williams,L. Williams
497,Marvin Williams,M. Williams
498,Mo Williams,M. Williams
499,Reggie Williams,R. Williams
500,Sean Williams,S. Williams
502,Shawne Williams,S. Williams
